French,English,Category
Bonjour,Hello,Greetings and goodbyes
Bon matin,Good morning,Greetings and goodbyes
Bon après-midi,Good afternoon,Greetings and goodbyes
Bonsoir,Good evening,Greetings and goodbyes
Salut,Hi,Greetings and goodbyes
Coucou,Hey,Greetings and goodbyes
Re-bonjour/soir,Hello again,Greetings and goodbyes
Bonne journée,Have a good day,Greetings and goodbyes
Bonne soirée,Good evening,Greetings and goodbyes
Bonne nuit,Good night,Greetings and goodbyes
À bientôt,See you soon,Greetings and goodbyes
Au revoir,Goodbye,Greetings and goodbyes
À plus tard,See you later,Greetings and goodbyes
À plus,See you later,Greetings and goodbyes
À demain,See you tomorrow,Greetings and goodbyes
Ça va?,How's it going?,Conversation
Comment vas tu?,How are you?,Conversation
Comment allez-vous?,How are you? (formal),Conversation
Tu vas bien?,How are you?,Conversation
Ça va bien,It's going well,Conversation
Tout va bien,All is well,Conversation
Et toi?,And you?,Conversation
Enchanté,Nice to meet you,Conversation
"Ça fait longtemps, dis donc",Long time no see,Conversation
Quoi de neuf?,What's up/new?,Conversation
Salut mon gars,Hi buddy!,Conversation
Òu se trouve le supermarche?,Where can I find the supermarket?,Phrases
Je peux vous aider?,Can I help you?,Phrases
Je ne sais pas,I don't know,Phrases
Est-que,Do/does,Connecting words
Quel âge ont-elles/ils?,How old are they?,Phrases
Pourqoui pas,Why not,Phrases
À votre avis,In your opinion,Phrases
Il a lieu la semaine prochaine,It takes place next week,Phrases
Je me suis bien amusé,I had a lot of fun,Phrases
Bien fait pour toi!,It serves you right!,Phrases
Bravo!,Well done!,Phrases
Vous avez changé de coupe,You've cut your hair,Phrases
Je suis d'accord,I agree,Phrases
Je ne suis pas d'accord,I do not agree,Phrases
Pas moi,Not me,Phrases
C'est Emilie,It's Emilie,Phrases
Sortir ensemble,Go out together,Phrases
Il est proche,It is near,Phrases
"je marche lentement, pas vite","I walk slowly, not fast",Phrases
J'aime bien,I really like,Phrases
"Oui, je l'aime","Yes, I like it",Phrases
Tous les jours,Everyday,Phrases
C'est/il est comme X,It's like X,Phrases
La plupart des jours/du temps,Most days/most of the time,Phrases
Faire des achats,Go shopping,Activities
Faire du jardinage,Gardening,Activities
Permet de localiser,Allows you to locate,Phrases
J'aimerais X,I would like X,Phrases
Qu'est-ce que tu deviens,How are you doing?,Conversation
Qu'est-ce que tu as fait de beau,What have you been up to?,Conversation
Je ne le/la/les connais pas,I don't know him/her/it/them,Phrases
Puis,Then,Connecting words
Dernière,Last,Connecting words
Mais,But,Connecting words
Maintenant,Now,Connecting words
Alors,So,Connecting words
Chez,At,Connecting words
Donc,So (formal),Connecting words
A environ,Around,Connecting words
Donc il y a aussi,So there's also,Connecting words
Leur,Their,Connecting words
Son/sa,His/hers,Connecting words
Prochain,Next,Connecting words
Justqu'à,Until,Connecting words
